schema_name,table_name,policy_name,command,type,using_expression,check_expression
public,challenge_completions,user_completions_insert,INSERT,PERMISSIVE,null,(user_id = auth.uid())
public,challenge_completions,user_completions_select,SELECT,PERMISSIVE,(user_id = auth.uid()),null
public,challenges,public_read,SELECT,PERMISSIVE,true,null
public,discovered_elements,Allow all operations on discovered_elements,ALL,PERMISSIVE,true,null
public,game_states,game_states_delete_optimized,DELETE,PERMISSIVE,(( SELECT auth.uid() AS uid) = user_id),null
public,game_states,game_states_insert_optimized,INSERT,PERMISSIVE,null,(( SELECT auth.uid() AS uid) = user_id)
public,game_states,game_states_select_optimized,SELECT,PERMISSIVE,(( SELECT auth.uid() AS uid) = user_id),null
public,game_states,game_states_update_optimized,UPDATE,PERMISSIVE,(( SELECT auth.uid() AS uid) = user_id),(( SELECT auth.uid() AS uid) = user_id)
public,payments,System can manage payments,ALL,PERMISSIVE,true,null
public,payments,Users can view their own payments,SELECT,PERMISSIVE,(auth.uid() = user_id),null
public,subscriptions,System can manage subscriptions,ALL,PERMISSIVE,true,null
public,subscriptions,Users can view their own subscriptions,SELECT,PERMISSIVE,(auth.uid() = user_id),null
public,user_auth_sessions,Allow all operations on user_auth_sessions,ALL,PERMISSIVE,true,null
public,user_profiles,Users can insert their own profile,INSERT,PERMISSIVE,null,(auth.uid() = user_id)
public,user_profiles,Users can update their own profile,UPDATE,PERMISSIVE,(auth.uid() = user_id),null
public,user_profiles,Users can view their own profile,SELECT,PERMISSIVE,(auth.uid() = user_id),null
public,user_sessions,Allow all operations on user_sessions,ALL,PERMISSIVE,true,null
public,user_sessions,user_sessions_anonymous_access,ALL,PERMISSIVE,(auth.uid() IS NOT NULL),null
public,users,Allow all operations on users,ALL,PERMISSIVE,true,null
