event_message,id,identifier,method,path,search,status_code,timestamp
GET | 200 | 13.222.135.233 | 965b029fbcedacc6 | https://dpdskrcslgqbmtidcotw.supabase.co/rest/v1/challenge_completions?select=*&user_id=eq.6922b549-5262-4207-8224-ad49260404a6&challenge_id=in.%281c0665e5-59c8-45db-8a1a-dc7f1133e3ce%2C8e8510da-e3f4-48f8-bdd9-2a9a18f6add2%2C16f621f1-f476-4bd5-af22-be9c45d17dbe%29 | node,db8be674-8c44-43ab-904b-bde09f5c391d,dpdskrcslgqbmtidcotw,GET,/rest/v1/challenge_completions,?select=*&user_id=eq.6922b549-5262-4207-8224-ad49260404a6&challenge_id=in.%281c0665e5-59c8-45db-8a1a-dc7f1133e3ce%2C8e8510da-e3f4-48f8-bdd9-2a9a18f6add2%2C16f621f1-f476-4bd5-af22-be9c45d17dbe%29,200,1753607495638000
GET | 200 | 13.222.135.233 | 965b029efbdfacc6 | https://dpdskrcslgqbmtidcotw.supabase.co/rest/v1/challenges?select=*&start_date=lte.2025-07-27T09%3A11%3A35.514Z&end_date=gte.2025-07-27T09%3A11%3A35.514Z&order=challenge_type.asc%2Cstart_date.desc | node,0d45df1a-ad82-4d3a-9999-2aa977e1f887,dpdskrcslgqbmtidcotw,GET,/rest/v1/challenges,?select=*&start_date=lte.2025-07-27T09%3A11%3A35.514Z&end_date=gte.2025-07-27T09%3A11%3A35.514Z&order=challenge_type.asc%2Cstart_date.desc,200,1753607495523000
GET | 200 | 13.222.135.233 | 965b029e4afcacc6 | https://dpdskrcslgqbmtidcotw.supabase.co/rest/v1/users?select=is_anonymous&id=eq.6922b549-5262-4207-8224-ad49260404a6 | node,d667c4c5-c773-46e5-89e8-e49b3690a33d,dpdskrcslgqbmtidcotw,GET,/rest/v1/users,?select=is_anonymous&id=eq.6922b549-5262-4207-8224-ad49260404a6,200,1753607495410000
GET | 200 | 13.222.135.233 | 965b029d89edacc6 | https://dpdskrcslgqbmtidcotw.supabase.co/auth/v1/user | node,27c1661f-2096-44da-b26f-c40120b2bcda,dpdskrcslgqbmtidcotw,GET,/auth/v1/user,null,200,1753607495293000
GET | 200 | 13.222.135.233 | 965b029a4d72acc6 | https://dpdskrcslgqbmtidcotw.supabase.co/rest/v1/challenge_completions?select=*&user_id=eq.6922b549-5262-4207-8224-ad49260404a6&challenge_id=in.%281c0665e5-59c8-45db-8a1a-dc7f1133e3ce%2C8e8510da-e3f4-48f8-bdd9-2a9a18f6add2%2C16f621f1-f476-4bd5-af22-be9c45d17dbe%29 | node,dfdf2175-4cee-4d2f-8e65-9d1210cceba4,dpdskrcslgqbmtidcotw,GET,/rest/v1/challenge_completions,?select=*&user_id=eq.6922b549-5262-4207-8224-ad49260404a6&challenge_id=in.%281c0665e5-59c8-45db-8a1a-dc7f1133e3ce%2C8e8510da-e3f4-48f8-bdd9-2a9a18f6add2%2C16f621f1-f476-4bd5-af22-be9c45d17dbe%29,200,1753607494767000
GET | 200 | 13.222.135.233 | 965b02999c7facc6 | https://dpdskrcslgqbmtidcotw.supabase.co/rest/v1/challenges?select=*&start_date=lte.2025-07-27T09%3A11%3A34.652Z&end_date=gte.2025-07-27T09%3A11%3A34.652Z&order=challenge_type.asc%2Cstart_date.desc | node,b3d60b34-9f61-41b4-9923-afb1b68bf71f,dpdskrcslgqbmtidcotw,GET,/rest/v1/challenges,?select=*&start_date=lte.2025-07-27T09%3A11%3A34.652Z&end_date=gte.2025-07-27T09%3A11%3A34.652Z&order=challenge_type.asc%2Cstart_date.desc,200,1753607494660000
GET | 200 | 13.222.135.233 | 965b0298eb8eacc6 | https://dpdskrcslgqbmtidcotw.supabase.co/rest/v1/users?select=is_anonymous&id=eq.6922b549-5262-4207-8224-ad49260404a6 | node,9f1b7bbb-1ffa-4fc7-9e3b-4a428616cfa4,dpdskrcslgqbmtidcotw,GET,/rest/v1/users,?select=is_anonymous&id=eq.6922b549-5262-4207-8224-ad49260404a6,200,1753607494549000
GET | 200 | 13.222.135.233 | 965b02983a9bacc6 | https://dpdskrcslgqbmtidcotw.supabase.co/auth/v1/user | node,2e9b691d-f1b8-4de5-ac6b-abcb112ebb4c,dpdskrcslgqbmtidcotw,GET,/auth/v1/user,null,200,1753607494436000
GET | 200 | 13.222.135.233 | 965b01e30fc11743 | https://dpdskrcslgqbmtidcotw.supabase.co/rest/v1/challenge_completions?select=*&user_id=eq.6922b549-5262-4207-8224-ad49260404a6&challenge_id=in.%281c0665e5-59c8-45db-8a1a-dc7f1133e3ce%2C8e8510da-e3f4-48f8-bdd9-2a9a18f6add2%2C16f621f1-f476-4bd5-af22-be9c45d17dbe%29 | node,af861e3f-01e5-42e9-8f42-8c6f742d9426,dpdskrcslgqbmtidcotw,GET,/rest/v1/challenge_completions,?select=*&user_id=eq.6922b549-5262-4207-8224-ad49260404a6&challenge_id=in.%281c0665e5-59c8-45db-8a1a-dc7f1133e3ce%2C8e8510da-e3f4-48f8-bdd9-2a9a18f6add2%2C16f621f1-f476-4bd5-af22-be9c45d17dbe%29,200,1753607465456000
GET | 200 | 13.222.135.233 | 965b01e14ec51743 | https://dpdskrcslgqbmtidcotw.supabase.co/rest/v1/challenges?select=*&start_date=lte.2025-07-27T09%3A11%3A05.161Z&end_date=gte.2025-07-27T09%3A11%3A05.161Z&order=challenge_type.asc%2Cstart_date.desc | node,49aead91-941e-4459-9c0f-42bac84882e7,dpdskrcslgqbmtidcotw,GET,/rest/v1/challenges,?select=*&start_date=lte.2025-07-27T09%3A11%3A05.161Z&end_date=gte.2025-07-27T09%3A11%3A05.161Z&order=challenge_type.asc%2Cstart_date.desc,200,1753607465170000
GET | 200 | 13.222.135.233 | 965b01df7da71743 | https://dpdskrcslgqbmtidcotw.supabase.co/rest/v1/users?select=is_anonymous&id=eq.6922b549-5262-4207-8224-ad49260404a6 | node,47ce42d3-b78d-4a8c-8f18-b2d0e2e5d8ba,dpdskrcslgqbmtidcotw,GET,/rest/v1/users,?select=is_anonymous&id=eq.6922b549-5262-4207-8224-ad49260404a6,200,1753607464880000
